ProductName,TotalQuantity,TotalSellingValue,TotalBuyValue,Total profit,product,category
MAXIGROWFOLIAR500ML,1,350,242,108,foliar feed,agro
HABLE5WG20GM,1,250,159,91,insecticide,agro
ROUNDUP-TURBO450SL1L,1,1300,910,390,herbicide,agro
NOROTRAZ12.5%100ML,1,300,195,105,acaricide,cattle
ISACOP50WP1KG,1,1750,1520,230,fungicide,agro
TIKDIP522.5EC*10MLKENAGROSUPPLIESLTD,1,100,60,40,acaricide,cattle
RANGER480EC1L,1,2300,1688,612,insecticide,agro
TRIMOVETWSP100GM,1,350,180,170,supplement,poultry
MACLIKSUPER1KG,1,280,235,45,mineral powder salts,cattle
VITALJOTO5KG,1,1100,830,270,mineral powder salts,cattle
ROUNDUP-TURBO450SL300ML,1,780,662,118,herbicide,agro
DAMINE72SL500ML,1,480,356,124,herbicide,agro
TINGATINGATOP500SC1L,1,1750,1452,298,herbicide,agro
HY-PROTECTOL1L,1,1300,802,498,disinfectant,disinfectant
ULTRAMIXMAZIWA10KG,1,1950,1665,285,mineral powder salts,cattle
MATCO-8-64720WP*250GM,1,650,423,227,fungicide,agro
MAXIGROWFOLIAR100ML,1,150,78,72,foliar feed,agro
AMIGAD057WDG*10GM,1,250,155,95,insecticide,agro
MISTRESS720WP*120GM,1,350,245,105,fungicide,agro
MACLIKSUPER10KG,1,2650,2378,272,mineral powder salts,cattle
MISTRESS720WP*80GM,1,250,167,83,fungicide,agro
SULBAN480EC100ML,1,250,201,49,insecticide,agro
KAUSHA480SL500ML,1,450,300,150,herbicide,agro
